Object Reference,Alarm,Manual,Commissioned,Site,Device Name,Device,Name,Value,Status,Timed_Override_Active
//Benson House/100.AI1011,,,1,Benson House,Ground Floor Router,100,Outside Air Temp,15.2 °C,private1,
//Benson House/100.AI1051,,,,Benson House,Ground Floor Router,100,eBX 1 24V Power,0.0 V,fault|not-commissioned,
//Benson House/100.AI1052,,,,Benson House,Ground Floor Router,100,eBX 1 14V Power,0.0 V,fault|not-commissioned,
//Benson House/100.AI1053,,,1,Benson House,Ground Floor Router,100,Room Temp,21.3 °C,private1,
//Benson House/100.AI83,,,,Benson House,Ground Floor Router,100,CPU Board Temperature,-55.0 °C,not-commissioned,
//Benson House/100.AS1,,,1,Benson House,Ground Floor Router,100,Access Control Setup,,,
//Benson House/100.AV1,,,,Benson House,Ground Floor Router,100,Optimiser Setpoint,21.0 °C,,
//Benson House/100.AV2,,,,Benson House,Ground Floor Router,100,Power Consumption Today,2.6 kWh,,
//Benson House/100.BI80,,,,Benson House,Ground Floor Router,100,Run Clear Button,ON,not-commissioned,
//Benson House/100.BI81,,,,Benson House,Ground Floor Router,100,Unused Button,ON,not-commissioned,
//Benson House/100.BV1,,,,Benson House,Ground Floor Router,100,Run Signal,ON,,
//Benson House/100.CEL1,,,,Benson House,Ground Floor Router,100,Access Control Event Log,,,
//Benson House/100.DEV100,,,1,Benson House,Ground Floor Router,100,Ground Floor Router,Operational,,
//Benson House/100.EV1,,,,Benson House,Ground Floor Router,100,Device Reset EV,Normal,,
//Benson House/100.EVL1,,,,Benson House,Ground Floor Router,100,Access Control Alarm Log,Logging,,
//Benson House/100.FIL1,,,,Benson House,Ground Floor Router,100,Database Transfer File,,,
//Benson House/100.FIL2,,,,Benson House,Ground Floor Router,100,DC.Diagnostics.txt,,,
//Benson House/100.MT1,,,,Benson House,Ground Floor Router,100,Ground Floor OAT MT,,,
//Benson House/100.OS1,,,,Benson House,Ground Floor Router,100,Optimum Start,Off,,
//Benson House/100.PG1,,,,Benson House,Ground Floor Router,100,Main,Running,,
//Benson House/100.PG2,,,,Benson House,Ground Floor Router,100,Run Program,Running,,
//Benson House/100.PG3,,,,Benson House,Ground Floor Router,100,Outside Air,Running,,
//Benson House/100.PG4,,,,Benson House,Ground Floor Router,100,Analytics,Waiting,,
//Benson House/100.SCH1,,,,Benson House,Ground Floor Router,100,Occupancy Times,On,private2,
//Benson House/100.SCH2,,,,Benson House,Ground Floor Router,100,ASch,21,private2,
//Benson House/100.SCH3,,,,Benson House,Ground Floor Router,100,new sch,Off,,
//Benson House/100.SUG1,,,,Benson House,Ground Floor Router,100,Administrator,,,
//Benson House/100.TL1,,,,Benson House,Ground Floor Router,100,OAT,Trending,,
//Benson House/100.TL50,,,,Benson House,Ground Floor Router,100,Ave Power per Zone,Trending,,
//Benson House/1000.AI101,,,1,Benson House,LTHWS Controller,1000,MixedBlr1_Outside Air Temp,15.0 °C,private1,
